Number;Title;Description;Material
90015;"Copper Plate (8"" x 8"" x 0.125"")";Durable and conductive plate for electrical applications;Copper C11000
90016;"Carbon Fiber Sheet (12"" x 12"" x 0.04"")";Lightweight and high-strength sheet for aerospace and sports;Carbon Fiber Composite
90017;"Fiberglass Sheet (18"" x 24"" x 0.125"")";Flat and flexible sheet for reinforcement and composites;Fiberglass
90018;"Polycarbonate Sheet (12"" x 18"" x 0.06"")";Transparent and impact-resistant sheet;Polycarbonate
90019;"Acrylic Sheet (16"" x 20"" x 0.125"")";Clear and versatile sheet for various applications;Acrylic (Polymethyl Methacrylate)
90020;"Nylon Rod (0.75"" x 12"")";Strong and lightweight rod for engineering applications;Nylon
90021;"Delrin (Acetal) Rod (1"" x 6"")";Low-friction and wear-resistant rod;Acetal (Polyoxymethylene)
90022;"Brass Rod (0.5"" x 36"")";Sturdy brass rod for machining and decorative purposes;Brass C36000
90023;"Aluminum Rod (1"" x 24"")";Round aluminum rod for various engineering applications;Aluminum Alloy 6061
90024;"Stainless Steel Rod (0.625"" x 36"")";Corrosion-resistant rod for mechanical and structural use;Stainless Steel 304
90025;"Copper Rod (0.75"" x 12"")";Highly conductive rod for electrical connections;Copper C11000
90026;"Carbon Fiber Rod (0.375"" x 36"")";Stiff and lightweight rod for engineering projects;Carbon Fiber Composite
90027;"Fiberglass Rod (0.5"" x 48"")";Flexible and durable rod for reinforcement and support;Fiberglass
90028;"Aluminum Round Bar (1"" x 36"")";Round bar for structural and decorative purposes;Aluminum Alloy 6061
90029;"Steel Round Bar (1.25"" x 48"")";Durable and versatile round bar for various applications;Carbon Steel
90030;"Brass Round Bar (0.75"" x 24"")";Round bar for machining and decorative purposes;Brass C36000
90031;"Aluminum Square Bar (0.75"" x 24"")";Square bar for structural and architectural applications;Aluminum Alloy 6061
90032;"Steel Square Bar (1"" x 12"")";Square bar for mechanical and industrial use;Carbon Steel
90033;"Brass Square Bar (0.625"" x 18"")";Square bar for machining and decorative purposes;Brass C36000
90034;"Aluminum Hex Bar (0.625"" x 24"")";Hexagonal bar for various engineering applications;Aluminum Alloy 6061
90035;"Steel Hex Bar (1"" x 12"")";Hexagonal bar for structural and mechanical use;Carbon Steel
90036;"Brass Hex Bar (0.75"" x 24"")";Hexagonal bar for machining and decorative purposes;Brass C36000
90037;"Aluminum Angle (2"" x 2"" x 0.125"")";Angle bar for structural support;Aluminum Alloy 6061
90038;"Steel Angle (3"" x 3"" x 0.25"")";Angle bar for construction and fabrication;Carbon Steel
90039;"Stainless Steel Angle (1.5"" x 1.5"" x 0.1875"")";Corrosion-resistant angle bar for various applications;Stainless Steel 304
90040;"Aluminum Channel (1"" x 1.5"" x 0.125"")";Channel section for framing and edging;Aluminum Alloy 6063-T5
90041;"Steel Channel (2"" x 1"" x 0.125"")";Channel section for structural support;Carbon Steel
90042;"Stainless Steel Channel (3"" x 1.5"" x 0.1875"")";Corrosion-resistant channel section for diverse applications;Stainless Steel 304
90043;"Aluminum I-Beam (4"" x 2.5"" x 0.25"")";Structural I-shaped beam for construction;Aluminum Alloy 6061
90044;"Steel I-Beam (6"" x 4"" x 0.25"")";Strong and durable I-shaped beam for structural use;Carbon Steel
90045;"Stainless Steel I-Beam (8"" x 5"" x 0.375"")";Corrosion-resistant I-shaped beam for diverse applications;Stainless Steel 304
90046;"Aluminum U-Channel (1"" x 1.5"" x 0.125"")";U-shaped channel for edging and finishing;Aluminum Alloy 6063-T5
90047;"Steel U-Channel (2"" x 2.5"" x 0.25"")";U-shaped channel for structural and architectural applications;Carbon Steel
90048;"Stainless Steel U-Channel (3"" x 3.5"" x 0.1875"")";Corrosion-resistant U-shaped channel for various uses;Stainless Steel 304
90049;"Aluminum Square Tube (2"" x 2"" x 0.125"")";Square tube for structural and architectural purposes;Aluminum Alloy 6063-T5
90050;"Steel Square Tube (3"" x 3"" x 0.25"")";Square tube for mechanical and structural applications;Carbon Steel
